date,avg_weight
2023-10-21,93.849
2023-10-23,93.316
2023-10-26,93.059
2023-10-28,93.1
2023-10-30,92.721
2023-11-08,93.151
2023-12-09,92.485
2023-12-10,90.84425
2023-12-11,89.83733333333333
2023-12-12,89.33
2023-12-13,89.28649999999999
2023-12-14,88.647
2023-12-15,88.375
2023-12-16,89.32
2023-12-17,89.309
2023-12-18,90.0135
2023-12-19,90.125
2023-12-21,90.717
2023-12-22,91.02
2023-12-25,91.548
2024-01-22,91.89
2024-02-12,92.737
2024-02-19,92.107
2024-02-20,91.784
2024-02-21,92.30600000000001
2024-02-22,92.381
2024-02-27,92.83
2024-03-11,93.257
2024-03-13,92.204
2024-03-22,92.727
2024-03-23,93.005
2024-04-04,91.692
2024-04-11,93.143
2024-04-14,92.837
2024-04-21,93.302
2024-05-20,91.393
2024-05-25,91.788
2024-05-27,91.822
2024-05-30,91.679
2024-05-31,90.416
2024-06-01,91.206
2024-06-02,90.829
2024-06-09,91.922
2024-06-11,91.638
2024-06-21,91.177
2024-06-25,91.857
2024-07-05,91.012
